cell,scoring,shift,crps
ett1_15min_ot--flowstate,normalized,37,0.15457994492125499
ett1_15min_ot--flowstate,normalized,38,0.15457108918755522
ett1_15min_ot--flowstate,normalized,39,0.154582637700342
ett1_15min_ot--flowstate,normalized,40,0.15458218240516167
ett1_15min_ot--flowstate,normalized,41,0.15458464046789486
ett1_15min_ot--flowstate,normalized,42,0.15458808866697113
ett1_15min_ot--flowstate,normalized,43,0.15458898145545888
ett1_15min_ot--flowstate,normalized,44,0.15458522521150103
ett1_15min_ot--flowstate,normalized,45,0.15457841902266461
ett1_15min_ot--flowstate,normalized,46,0.1545590599437592
ett1_15min_ot--flowstate,normalized,47,0.15451265411611712
ett1_15min_ot--flowstate,physical,0,0.3522988682194857
ett1_15min_ot--flowstate,physical,1,0.352373692191992
ett1_15min_ot--flowstate,physical,2,0.3524249064012174
ett1_15min_ot--flowstate,physical,3,0.3525644644208449
ett1_15min_ot--flowstate,physical,4,0.35259116458582224
ett1_15min_ot--flowstate,physical,5,0.3525145406676905
ett1_15min_ot--flowstate,physical,6,0.3525355216654967
ett1_15min_ot--flowstate,physical,7,0.35267138748462235
ett1_15min_ot--flowstate,physical,8,0.3526685844279539
ett1_15min_ot--flowstate,physical,9,0.35262346420742574
ett1_15min_ot--flowstate,physical,10,0.3526337755285182
ett1_15min_ot--flowstate,physical,11,0.3526579913399027
ett1_15min_ot--flowstate,physical,12,0.35264625484266937
ett1_15min_ot--flowstate,physical,13,0.3526437973791135
ett1_15min_ot--flowstate,physical,14,0.3526772741526125
ett1_15min_ot--flowstate,physical,15,0.35265634585741057
ett1_15min_ot--flowstate,physical,16,0.3526776775261489
ett1_15min_ot--flowstate,physical,17,0.3526641602744891
ett1_15min_ot--flowstate,physical,18,0.35266824144864517
ett1_15min_ot--flowstate,physical,19,0.3526688444330037
ett1_15min_ot--flowstate,physical,20,0.35264812270289675
ett1_15min_ot--flowstate,physical,21,0.3526339776949665
ett1_15min_ot--flowstate,physical,22,0.35262585521968437
ett1_15min_ot--flowstate,physical,23,0.35261244780673656
ett1_15min_ot--flowstate,physical,24,0.35257448428555266
ett1_15min_ot--flowstate,physical,25,0.35262539433558615
ett1_15min_ot--flowstate,physical,26,0.3526158203763932
ett1_15min_ot--flowstate,physical,27,0.3526101924676953
ett1_15min_ot--flowstate,physical,28,0.3526185755503987
ett1_15min_ot--flowstate,physical,29,0.3525971625265512
ett1_15min_ot--flowstate,physical,30,0.3525806310650954
ett1_15min_ot--flowstate,physical,31,0.3526007241595787
ett1_15min_ot--flowstate,physical,32,0.3526309931719912
ett1_15min_ot--flowstate,physical,33,0.35262300969692045
ett1_15min_ot--flowstate,physical,34,0.35264280857908636
ett1_15min_ot--flowstate,physical,35,0.35266353875622586
ett1_15min_ot--flowstate,physical,36,0.3526575592851116
ett1_15min_ot--flowstate,physical,37,0.35266437146940605
ett1_15min_ot--flowstate,physical,38,0.3526444750513707
ett1_15min_ot--flowstate,physical,39,0.35266781557659005
ett1_15min_ot--flowstate,physical,40,0.3526643406871504
ett1_15min_ot--flowstate,physical,41,0.3526719784827419
ett1_15min_ot--flowstate,physical,42,0.35267742628846555
ett1_15min_ot--flowstate,physical,43,0.35267994832611405
ett1_15min_ot--flowstate,physical,44,0.35267205243234573
ett1_15min_ot--flowstate,physical,45,0.3526574554498145
ett1_15min_ot--flowstate,physical,46,0.35261950260749186
ett1_15min_ot--flowstate,physical,47,0.3525325567451817
ett2_15min_ot--chronos,normalized,0,0.09863535418353968
ett2_15min_ot--chronos,normalized,1,0.0987047258943311
ett2_15min_ot--chronos,normalized,2,0.09877215374148715
ett2_15min_ot--chronos,normalized,3,0.09882387022537766
ett2_15min_ot--chronos,normalized,4,0.09886141749318432
ett2_15min_ot--chronos,normalized,5,0.0989024600158998
ett2_15min_ot--chronos,normalized,6,0.09894379899792204
ett2_15min_ot--chronos,normalized,7,0.09899328469342664
ett2_15min_ot--chronos,normalized,8,0.09906871821406378
ett2_15min_ot--chronos,normalized,9,0.09912741540725464
ett2_15min_ot--chronos,normalized,10,0.09918151069373203
ett2_15min_ot--chronos,normalized,11,0.0992206219014863
ett2_15min_ot--chronos,normalized,12,0.0992562120082741
ett2_15min_ot--chronos,normalized,13,0.09928574112152382
ett2_15min_ot--chronos,normalized,14,0.09930999430211072
ett2_15min_ot--chronos,normalized,15,0.09932327840584837
ett2_15min_ot--chronos,normalized,16,0.09932612214758646
ett2_15min_ot--chronos,normalized,17,0.09934985558876812
ett2_15min_ot--chronos,normalized,18,0.0993499698703624
ett2_15min_ot--chronos,normalized,19,0.09933470130792296
ett2_15min_ot--chronos,normalized,20,0.09933783545993423
ett2_15min_ot--chronos,normalized,21,0.09933542070624769
ett2_15min_ot--chronos,normalized,22,0.09933890870384277
ett2_15min_ot--chronos,normalized,23,0.0993397319450863
ett2_15min_ot--chronos,normalized,24,0.09934036658484065
ett2_15min_ot--chronos,normalized,25,0.09934473244919614
ett2_15min_ot--chronos,normalized,26,0.09935783126407777
ett2_15min_ot--chronos,normalized,27,0.09935316855174624
ett2_15min_ot--chronos,normalized,28,0.09934416272905247
ett2_15min_ot--chronos,normalized,29,0.0993401360723881
ett2_15min_ot--chronos,normalized,30,0.09933745231896923
ett2_15min_ot--chronos,normalized,31,0.09933441725132837
ett2_15min_ot--chronos,normalized,32,0.09933345170742987
ett2_15min_ot--chronos,normalized,33,0.09932981097678277
ett2_15min_ot--chronos,normalized,34,0.09931357352169369
ett2_15min_ot--chronos,normalized,35,0.09929052149409556
ett2_15min_ot--chronos,normalized,36,0.09931362229286506
ett2_15min_ot--chronos,normalized,37,0.09931463916949548
ett2_15min_ot--chronos,normalized,38,0.09931217012433204
ett2_15min_ot--chronos,normalized,39,0.09931507703040217
ett2_15min_ot--chronos,normalized,40,0.0993251772467201
ett2_15min_ot--chronos,normalized,41,0.09933143427781148
ett2_15min_ot--chronos,normalized,42,0.09931663913269081
ett2_15min_ot--chronos,normalized,43,0.0992999143082439
ett2_15min_ot--chronos,normalized,44,0.09927422346138023
ett2_15min_ot--chronos,normalized,45,0.09920387197194187
ett2_15min_ot--chronos,normalized,46,0.09915020978956884
ett2_15min_ot--chronos,normalized,47,0.09901010637455851
ett2_15min_ot--chronos,physical,0,0.5894037451145915
ett2_15min_ot--chronos,physical,1,0.5899142653512413
ett2_15min_ot--chronos,physical,2,0.5904230223361316
ett2_15min_ot--chronos,physical,3,0.5908132487839528
ett2_15min_ot--chronos,physical,4,0.5911119331161352
ett2_15min_ot--chronos,physical,5,0.5914175857756473
ett2_15min_ot--chronos,physical,6,0.5917430631834809
ett2_15min_ot--chronos,physical,7,0.5920782293051523
ett2_15min_ot--chronos,physical,8,0.5926344222076555
ett2_15min_ot--chronos,physical,9,0.5930430185527165
ett2_15min_ot--chronos,physical,10,0.5934286773699678
ett2_15min_ot--chronos,physical,11,0.5936890092519722
ett2_15min_ot--chronos,physical,12,0.5939322150178661
ett2_15min_ot--chronos,physical,13,0.5941553881473312
ett2_15min_ot--chronos,physical,14,0.5943410604337879
ett2_15min_ot--chronos,physical,15,0.594471150329137
ett2_15min_ot--chronos,physical,16,0.5944870471230871
ett2_15min_ot--chronos,physical,17,0.5946815414644836
ett2_15min_ot--chronos,physical,18,0.5946745418644097
ett2_15min_ot--chronos,physical,19,0.5945631770457718
ett2_15min_ot--chronos,physical,20,0.5945853326526082
ett2_15min_ot--chronos,physical,21,0.5945543054442316
ett2_15min_ot--chronos,physical,22,0.5945773990704953
ett2_15min_ot--chronos,physical,23,0.5945695763141153
ett2_15min_ot--chronos,physical,24,0.594556788081056
ett2_15min_ot--chronos,physical,25,0.594578146042146
ett2_15min_ot--chronos,physical,26,0.594699919496281
ett2_15min_ot--chronos,physical,27,0.5946661694325637
ett2_15min_ot--chronos,physical,28,0.5946043119195568
ett2_15min_ot--chronos,physical,29,0.5945862126206459
ett2_15min_ot--chronos,physical,30,0.5945696047788939
ett2_15min_ot--chronos,physical,31,0.5945431206446501
ett2_15min_ot--chronos,physical,32,0.5945487319089369
ett2_15min_ot--chronos,physical,33,0.5945351113100593
ett2_15min_ot--chronos,physical,34,0.5944168540781727
ett2_15min_ot--chronos,physical,35,0.5942411581814372
ett2_15min_ot--chronos,physical,36,0.5944281708424002
ett2_15min_ot--chronos,physical,37,0.5944368828906413
ett2_15min_ot--chronos,physical,38,0.594423688110225
ett2_15min_ot--chronos,physical,39,0.5944528542125093
ett2_15min_ot--chronos,physical,40,0.5945231440483908
ett2_15min_ot--chronos,physical,41,0.5946464241446167
ett2_15min_ot--chronos,physical,42,0.5945338443208036
ett2_15min_ot--chronos,physical,43,0.5943885085801406
ett2_15min_ot--chronos,physical,44,0.594212632350211
ett2_15min_ot--chronos,physical,45,0.5935745548518306
ett2_15min_ot--chronos,physical,46,0.5931372753731677
ett2_15min_ot--chronos,physical,47,0.5921189099382083
ett2_15min_ot--flowstate,normalized,0,0.09397491189931817
ett2_15min_ot--flowstate,normalized,1,0.09403351355458117
ett2_15min_ot--flowstate,normalized,2,0.09409136625895127
ett2_15min_ot--flowstate,normalized,3,0.09412612039633504
ett2_15min_ot--flowstate,normalized,4,0.09414131895839604
ett2_15min_ot--flowstate,normalized,5,0.09417194713193687
ett2_15min_ot--flowstate,normalized,6,0.09419307769606024
ett2_15min_ot--flowstate,normalized,7,0.09420553586325212
ett2_15min_ot--flowstate,normalized,8,0.09422110801798107
ett2_15min_ot--flowstate,normalized,9,0.09422956632682829
ett2_15min_ot--flowstate,normalized,10,0.09423369829186677
ett2_15min_ot--flowstate,normalized,11,0.09423616431583991
