cell,group,metric,geometry,time,gain_percent
solar_10min_power--chronos,middle,physical_crps,0.629109823896512,0.6280509909630244,-0.168590281477643
solar_10min_power--flowstate,middle,physical_crps,0.6094118070062235,0.6093826970262374,-0.004776962018815389
electricity_15min_load--chronos,middle,bounded_is90,0.9838099065952041,0.9852413996295053,0.1452936341123645
electricity_15min_load--flowstate,middle,bounded_is90,1.0226171684687526,1.031748270268404,0.885012561957188
ett1_15min_ot--chronos,middle,bounded_is90,1.3957794921406128,1.4010501292660988,0.3761919017306603
ett1_15min_ot--flowstate,middle,bounded_is90,1.367378545764742,1.3706378112845774,0.23779188732439005
ett2_15min_ot--chronos,middle,bounded_is90,0.7779716889302182,0.7849761263409678,0.8923121577467108
ett2_15min_ot--flowstate,middle,bounded_is90,0.7412251037588549,0.7422570065479644,0.13902230359652545
jena_weather_10min_temperature--chronos,middle,bounded_is90,0.8944841605254255,0.9160590714616959,2.3551877393501175
jena_weather_10min_temperature--flowstate,middle,bounded_is90,0.7699216307731677,0.7741424260650924,0.5452220611882441
loop_seattle_5min_speed--chronos,middle,bounded_is90,3.98368610351586,3.9858537033572663,0.05438232315402303
loop_seattle_5min_speed--flowstate,middle,bounded_is90,2.9481882572913833,2.9453953722019977,-0.09482207773341411
solar_10min_power--chronos,middle,bounded_is90,0.9518862841722291,0.9445136185506794,-0.7805780114491956
solar_10min_power--flowstate,middle,bounded_is90,0.9763928318423928,0.9763334562263243,-0.006081489442966159
electricity_15min_load--chronos,middle,physical_is90,223.63858860264014,224.13104356140698,0.21971742554793838
electricity_15min_load--flowstate,middle,physical_is90,238.33091812746534,240.96899720798865,1.0947794575608016
ett1_15min_ot--chronos,middle,physical_is90,3.239930224276488,3.250923425913623,0.3381562773674185
ett1_15min_ot--flowstate,middle,physical_is90,3.233204795372433,3.2399876340498164,0.2093476717658027
ett2_15min_ot--chronos,middle,physical_is90,4.765359924085661,4.822369376962719,1.1821876015844501
ett2_15min_ot--flowstate,middle,physical_is90,4.598091305381271,4.606177510799705,0.17555131992798012
jena_weather_10min_temperature--chronos,middle,physical_is90,3.403330569693757,3.486501603458498,2.3855154313492277
jena_weather_10min_temperature--flowstate,middle,physical_is90,2.696540499631263,2.710983851804594,0.5327716048074804
loop_seattle_5min_speed--chronos,middle,physical_is90,30.991935971606342,31.004869589075312,0.041714793967484454
loop_seattle_5min_speed--flowstate,middle,physical_is90,23.473512290656995,23.44906068223475,-0.10427542814441804
solar_10min_power--chronos,middle,physical_is90,6.415296714144569,6.365901850725244,-0.7759287619820476
solar_10min_power--flowstate,middle,physical_is90,6.050323297994154,6.051133296316162,0.013385894548056942
electricity_15min_load--chronos,middle,original_crps,245.91197444999545,245.58934597715452,-0.13136908344182352
electricity_15min_load--flowstate,middle,original_crps,124.82935795187564,124.80396813814569,-0.020343755177587575
ett1_15min_ot--chronos,middle,original_crps,0.1646166881511639,0.16465892651178604,0.025652032062239982
ett1_15min_ot--flowstate,middle,original_crps,0.1632625651468561,0.16328392924766477,0.013084019295162008
ett2_15min_ot--chronos,middle,original_crps,0.08642609082308601,0.08646806218846853,0.04853973168849057
ett2_15min_ot--flowstate,middle,original_crps,0.08688512365859528,0.0867295310188675,-0.1793998398238017
jena_weather_10min_temperature--chronos,middle,original_crps,0.11150553078502701,0.11181355639275369,0.2754814511441883
jena_weather_10min_temperature--flowstate,middle,original_crps,0.10245703134693591,0.10258736990447284,0.12705127118308734
loop_seattle_5min_speed--chronos,middle,original_crps,0.3865532766243772,0.3865647230983449,0.002961075670826485
loop_seattle_5min_speed--flowstate,middle,original_crps,0.3243593408578742,0.3243504031151191,-0.0027555824408720397
solar_10min_power--chronos,middle,original_crps,0.12523411232366627,0.1251793437157863,-0.0437521129718732
solar_10min_power--flowstate,middle,original_crps,0.1391459380296939,0.139122394031697,-0.016923226602583163
electricity_15min_load--chronos,middle,original_is90,2627.927501373846,2581.445260403901,-1.8006285735717054
electricity_15min_load--flowstate,middle,original_is90,1592.4711329451036,1593.442946326621,0.0609882759691982
